case_id,mode,group,seed_cluster,cleared_count,source_count,complete,error,exit_reason,average_clear_time_s,total_virtual_time_s,distance_m,requests,clear_failures,program_runtime_s
LOCAL-final-q3-fixed_positive_bias-1234982061,3,fixed_positive_bias,1234982061,11,11,True,,user_exit,245.77637000000001,2703.54007,9957.700356309759,125,4,0.025420624995604157
LOCAL-final-q3-fixed_positive_bias-260648872,3,fixed_positive_bias,260648872,12,12,True,,user_exit,250.47470324999998,3005.696439,11063.482188184571,143,12,0.032012208946980536
LOCAL-final-q3-fixed_positive_bias-861686280,3,fixed_positive_bias,861686280,12,12,True,,user_exit,222.17303883333332,2666.076466,9850.38233834509,125,9,0.035604957956820726
LOCAL-final-q3-fixed_positive_bias-1528127779,3,fixed_positive_bias,1528127779,13,13,True,,user_exit,232.86020907692307,3027.182718,11515.913585081404,129,7,0.027505415957421064
LOCAL-final-q3-fixed_positive_bias-2142220311,3,fixed_positive_bias,2142220311,16,16,True,,user_exit,203.285051375,3252.560822,12482.804113409746,135,7,0.04119570797774941
LOCAL-final-q3-fixed_positive_bias-547927108,3,fixed_positive_bias,547927108,15,15,True,,user_exit,214.41496020000002,3216.224403,12306.122015320454,136,10,0.03842383297160268
LOCAL-final-q3-fixed_positive_bias-398370288,3,fixed_positive_bias,398370288,15,15,True,,user_exit,198.77247493333334,2981.587124,11367.935631285643,130,13,0.03287233295850456
LOCAL-final-q3-fixed_positive_bias-1518097813,3,fixed_positive_bias,1518097813,16,16,True,,user_exit,216.223217375,3459.571478,13477.857396377372,137,9,0.034903416060842574
LOCAL-final-q3-fixed_positive_bias-836635060,3,fixed_positive_bias,836635060,12,12,True,,user_exit,226.2675255,2715.210306,9956.051548285277,129,8,0.03270700003486127
LOCAL-final-q3-fixed_positive_bias-523802310,3,fixed_positive_bias,523802310,14,14,True,,user_exit,242.8390935,3399.747309,13058.736545449772,140,8,0.03806624992284924
LOCAL-final-q3-fixed_positive_bias-662106092,3,fixed_positive_bias,662106092,11,11,True,,user_exit,247.44689018181816,2721.915792,10129.578963565144,123,5,0.024403000017628074
LOCAL-final-q3-fixed_positive_bias-1312614476,3,fixed_positive_bias,1312614476,16,16,True,,user_exit,205.66800675,3290.688108,13038.440539962508,124,9,0.03972620901186019
LOCAL-final-q3-fixed_positive_bias-1368975556,3,fixed_positive_bias,1368975556,10,10,True,,user_exit,291.1911204,2911.911204,10834.556031844228,134,11,0.03030524996574968
LOCAL-final-q3-fixed_positive_bias-312083342,3,fixed_positive_bias,312083342,15,15,True,,user_exit,240.37395773333336,3605.609366,13858.04683606149,151,13,0.04287695896346122
LOCAL-final-q3-fixed_positive_bias-2023236244,3,fixed_positive_bias,2023236244,16,16,True,,user_exit,209.116595625,3345.86553,12824.327651539228,137,3,0.04413399996701628
LOCAL-final-q3-fixed_positive_bias-1997973752,3,fixed_positive_bias,1997973752,10,10,True,,user_exit,287.157868,2871.57868,10552.893396640984,134,6,0.02682620903942734
LOCAL-final-q3-fixed_positive_bias-1748709290,3,fixed_positive_bias,1748709290,13,13,True,,user_exit,216.9024809230769,2819.732252,10598.661258992377,123,3,0.033212041947990656
LOCAL-final-q3-fixed_positive_bias-1956250307,3,fixed_positive_bias,1956250307,16,16,True,,user_exit,201.062263,3216.996208,12244.981044805201,136,6,0.03551262500695884
